vid_title,vid_id,category,views,duration,url
5 Minute Abs Desk Workout | Exercises For a Flat Belly,5zjZIHsHuDI,Workout,36833,6.42,https://www.youtube.com/watch?v=5zjZIHsHuDI
Real Time Desk Exercises &amp; Stretches - Ask Doctor Jo,CAq9vV7gkrs,Workout,14089,11.12,https://www.youtube.com/watch?v=CAq9vV7gkrs
Standing Desk Workout - 5 Exercises to do at Work,9N6ZQz-CV44,Workout,22416,5.23,https://www.youtube.com/watch?v=9N6ZQz-CV44
Easy 10-Minute Workout You Can Do at Your Desk,0Dp2rL397jA,Workout,76646,2.45,https://www.youtube.com/watch?v=0Dp2rL397jA
How to Get Your Daily Workout at Your Desk | WSJ,XEm9QuABBKs,Workout,27434,3.92,https://www.youtube.com/watch?v=XEm9QuABBKs
Lose hanging lower belly fat sitting - Beginner friendly chair workout,0x_MsUr3tag,Workout,901460,14.32,https://www.youtube.com/watch?v=0x_MsUr3tag
12 Core Strengthening Exercises You Can Do In The Office (WITHOUT LEAVING YOUR SEAT),dM0rrWFbMpg,Workout,161321,5.97,https://www.youtube.com/watch?v=dM0rrWFbMpg
Stretch Breaks at Your Desk (2018),vE1idGTZOIY,Workout,100011,1.98,https://www.youtube.com/watch?v=vE1idGTZOIY
Full Body Desk Workout,FABeW2UYbMI,Workout,11003,11.25,https://www.youtube.com/watch?v=FABeW2UYbMI
The 5 Minute Desk Workout | Fitness,eR1AWOp6t30,Workout,34538,5.62,https://www.youtube.com/watch?v=eR1AWOp6t30
Exercise at Your Desk! Seated Office Workout for Energy,U8tB5wtdZnY,Workout,96874,11.25,https://www.youtube.com/watch?v=U8tB5wtdZnY
Deskercise -  Lower Back and Torso Stretches,5M-b1c2spPE,Workout,68482,2.17,https://www.youtube.com/watch?v=5M-b1c2spPE
INTENSE Exercises To Do At Your Desk,DgxuAKSa6OM,Workout,155011,10.52,https://www.youtube.com/watch?v=DgxuAKSa6OM
Yoga at Your Desk,tAUf7aajBWE,Workout,1348428,6.4,https://www.youtube.com/watch?v=tAUf7aajBWE
10 Min Office Workout Exercises - Quick Office Workout Routine - 1 workout a day,M_heu5pg2IQ,Workout,99217,10.47,https://www.youtube.com/watch?v=M_heu5pg2IQ
