vid_title,vid_id,category,duration,views,likes,url
5 Minute Abs Desk Workout | Exercises For a Flat Belly,5zjZIHsHuDI,Workout,6.42,36865,1257,https://www.youtube.com/watch?v=5zjZIHsHuDI
Real Time Desk Exercises &amp; Stretches - Ask Doctor Jo,CAq9vV7gkrs,Workout,11.12,14159,226,https://www.youtube.com/watch?v=CAq9vV7gkrs
Standing Desk Workout - 5 Exercises to do at Work,9N6ZQz-CV44,Workout,5.23,22451,310,https://www.youtube.com/watch?v=9N6ZQz-CV44
Easy 10-Minute Workout You Can Do at Your Desk,0Dp2rL397jA,Workout,2.45,76672,687,https://www.youtube.com/watch?v=0Dp2rL397jA
How to Get Your Daily Workout at Your Desk | WSJ,XEm9QuABBKs,Workout,3.92,27440,817,https://www.youtube.com/watch?v=XEm9QuABBKs
Lose hanging lower belly fat sitting - Beginner friendly chair workout,0x_MsUr3tag,Workout,14.32,903018,19672,https://www.youtube.com/watch?v=0x_MsUr3tag
Stretch Breaks at Your Desk (2018),vE1idGTZOIY,Workout,1.98,100132,922,https://www.youtube.com/watch?v=vE1idGTZOIY
12 Core Strengthening Exercises You Can Do In The Office (WITHOUT LEAVING YOUR SEAT),dM0rrWFbMpg,Workout,5.97,161455,1824,https://www.youtube.com/watch?v=dM0rrWFbMpg
Full Body Desk Workout,FABeW2UYbMI,Workout,11.25,11032,244,https://www.youtube.com/watch?v=FABeW2UYbMI
The 5 Minute Desk Workout | Fitness,eR1AWOp6t30,Workout,5.62,34544,204,https://www.youtube.com/watch?v=eR1AWOp6t30
Exercise at Your Desk! Seated Office Workout for Energy,U8tB5wtdZnY,Workout,11.25,96902,1372,https://www.youtube.com/watch?v=U8tB5wtdZnY
Deskercise -  Lower Back and Torso Stretches,5M-b1c2spPE,Workout,2.17,68524,566,https://www.youtube.com/watch?v=5M-b1c2spPE
INTENSE Exercises To Do At Your Desk,DgxuAKSa6OM,Workout,10.52,155017,3356,https://www.youtube.com/watch?v=DgxuAKSa6OM
Yoga at Your Desk,tAUf7aajBWE,Workout,6.4,1349386,15579,https://www.youtube.com/watch?v=tAUf7aajBWE
10 Min Office Workout Exercises - Quick Office Workout Routine - 1 workout a day,M_heu5pg2IQ,Workout,10.47,99279,0,https://www.youtube.com/watch?v=M_heu5pg2IQ
Easy At-Work Stretches for Neck Pain and Back Pain,XkT7jxFfPHA,Workout,3.47,58958,717,https://www.youtube.com/watch?v=XkT7jxFfPHA
2 Minutes office chair workout | Stress Relieving Exercise,GWTpAJW0q9M,Workout,4.12,15704,118,https://www.youtube.com/watch?v=GWTpAJW0q9M
7-MINUTE STANDING DESK WORKOUT!,tjVE9zaISRQ,Workout,7.97,1853,24,https://www.youtube.com/watch?v=tjVE9zaISRQ
Desk exercises,Lg8PFfd85ts,Workout,3.3,93981,860,https://www.youtube.com/watch?v=Lg8PFfd85ts
