vid_title,vid_id,category,duration,views,likes,url,description,tags,Likes_Views_ratio
5 Minute Abs Desk Workout | Exercises For a Flat Belly,5zjZIHsHuDI,Workout,6.42,36974,1261,https://www.youtube.com/watch?v=5zjZIHsHuDI,"This 5 minute seated abs workout is perfect to tone your tummy and burn fat in class or at work! I love these moves if you are short on time or want to get a flat stomach all day long!

♥ Join the LSF Community & be part of #teamLSF ! Get FREE daily workouts, recipes & motivation right in your email Join today http://bit.ly/1zkQmwq

♥ Start your LSF 8 Week Hot Body Workout Guide & 4 Week Meal Plan to get the best results! Download here: https://lovesweatfitness.com/hot-body-guides/

♥ Follow me on Instagram https://instagram.com/lovesweatfitness
♥ My 45lb Weight Loss Story https://youtu.be/Vzv82k9iIT8

♥ Get in on all the fun, lets get sweaty together♥ 
Instagram: http://www.instagram.com/lovesweatfitness
Snapchat: https://www.snapchat.com/add/lovesweatandfit
Twitter: http://www.twitter.com/lovesweatandfit
Facebook: http://www.facebook.com/lovesweatandfitness
Pinterest: http://www.pinterest.com/lovesweatfit
Web: https://lovesweatfitness.com

Disclaimer: Love Sweat Fitness recommends that you consult with your physician before beginning any exercise program. It is important that you be in good physical condition/health and be able to participate in the exercise.

By participating in any workout or workout program such as this, there is always a possibility of injury. If you do take part in this workout or any LSF workout program, you agree that you do so at your own risk. You also agree that you are voluntarily participating in these activities and will assume all risk of injury to yourself. You also agree to release and discharge Love Sweat Fitness and Love Sweat Fitness, Inc. from any and all claims or causes of action, known or unknown, arising out of Love Sweat Fitness and Love Sweat Fitness, Inc. negligence.","['abs', 'abs workout', 'desk workout', 'desk workout for abs', 'desk workout at work', 'desk workout routine', 'school workout', 'workout to do at work', '5 minute workout', 'office workout', '5 minute abs', 'abs for beginners', 'best workout for abs', 'at home workout video', 'love sweat fitness', '5 minute abs for women', 'lose belly fat', 'flat stomach', 'exercises for flat stomach', 'belly pooch', 'love handles', 'school workout routine', 'workout routine', 'seated abs', 'chair workout']",3.410504678963596
Real Time Desk Exercises &amp; Stretches - Ask Doctor Jo,CAq9vV7gkrs,Workout,11.12,14449,230,https://www.youtube.com/watch?v=CAq9vV7gkrs,"These desk exercises and stretches are easy to do at your desk. Following along with this 10-minute, real-time routine should help keep your muscles and joints moving throughout the day. See Doctor Jo’s blog post about this at: http://www.askdoctorjo.com/desk-exercises-stretches-real-time

To start off, work your whole body and large muscles by doing a simple sit to stand movement. Put your feet about shoulder width apart, and stand up and sit down five times. Now while sitting, do a rotation stretch of the upper body to loosen up your spine. Turn one direction in your chair, and grab the back if you want a little more of a stretch. Hold these for about five seconds on each side. Do three on each side.

Next, you will stretch your forearm muscles. If you are typing a lot through out the day, these will hopefully feel really good. Start off with your arm straight out in front of you. Bring your wrists downward or into flexion. If you need more of a stretch, push down with the other hand. Hold for about five seconds and alternate sides. Now bring your wrists upward to stretch the opposite side.

The next exercises will be seated hip flexion. If you can roll your chair out from under your desk so you don’t hit your knees on the desk. Bring your knee upwards, and slowly come back down. You can alternate or do one side at a time. Do ten of these. Then you will kick your leg out to work your quad muscles. Kick your leg out until your knee is straight, and then pull your toes up towards you for a stretch. You can alternate or do one side at a time. Do ten of these. 

Now you will stretch your buttocks muscles that you are sitting on all day long. Take the leg of the side you want to stretch, and cross it over the other leg just above the knee. This will look like a figure 4 if you are looking down at your legs. You might feel the stretch already, but if you don’t, keeping your back straight, bend forward at your hips. Hold this stretch for 30 seconds, and repeat 3 times.

Finally, stretch and exercise your calf muscles to help prevent DVTs. With your feet on the ground, alternate lifting your toes, and then lift your heels. Do ten of these. 

Related Videos:

How to Improve Posture at Your Computer:
https://youtu.be/NPzVWW_g_P8?list=PLPS8D21t0eO_aKBiXrRDEvPM3hRzXUJQd

Carpal Tunnel Syndrome Stretches & Exercises:
https://youtu.be/1KRtQppsUHc?list=PLPS8D21t0eO-_SSqmyKDNI-ODAhwWoMy5

===========================================

SUBSCRIBE for More Videos:
http://www.youtube.com/subscription_center?add_user=askdoctorjo

=======================================

Doctor Jo is a Doctor of Physical Therapy.
http://www.AskDoctorJo.com
http://www.facebook.com/AskDoctorJo
http://www.pinterest.com/AskDoctorJo
https://www.instagram.com/AskDoctorJo
http://www.twitter.com/AskDoctorJo
http://plus.google.com/+AskDoctorJo

=======================================

Desk Exercises & Stretches, Real-Time Routine:
https://www.youtube.com/watch?v=CAq9vV7gkrs

DISCLAIMER: This content (the video, description, links, and comments) is not medical advice or a treatment plan and is intended for general education and demonstration purposes only. This content should not be used to self-diagnose or self-treat any health, medical, or physical condition. Don’t use this content to avoid going to your own healthcare professional or to replace the advice they give you. Consult with your healthcare professional before doing anything contained in this content. You agree to indemnify and hold harmless Ask Doctor Jo, LLC and its officers for any and all losses, injuries, or damages resulting from any and all claims that arise from your use or misuse of this content. Ask Doctor Jo, LLC makes no representations about the accuracy or suitability of this content. Use of this content is at your sole risk.","['desk exercises', 'desk exercise', 'exercise at your desk', 'office workout', 'desk workouts', 'office exercise', 'chair exercises', 'exercise at desk', 'sitting exercises', 'workout at your desk', 'physical therapy', 'askdoctorjo', 'doctorjo', 'ask doctor jo', 'dr jo', 'real time desk exercises', 'real time desk stretches']",1.5918056612914389
Standing Desk Workout - 5 Exercises to do at Work,9N6ZQz-CV44,Workout,5.23,22612,313,https://www.youtube.com/watch?v=9N6ZQz-CV44,"5 Exercises to do at a Stand-Up Desk, benefits of standing up more plus stand-up desk converter recommendations. 
Benefits = More energy, Better productivity, Less body stiffness, Stronger core and glutes, Flexible spine (less back pain).

If you're at work and you start to feel your energy drop and you're thinking about that third cup of coffee or a sugary snack to keep you going,  you might want to get your body moving instead. Not only does standing up for some of your day give you a more sustainable energy boost than an energy drink, but it also helps your body feel less tight and stiff. If you find yourself sitting down most of your day at work, you might want to get yourself a stand-up desk option or get up and do these moves every hour or half hour. 

If you are standing up at work already then here are 5 moves for you to strengthen your core and glutes, help your posture, loosen up a stiff neck and spine, plus get more focussed and productive while you work. 

If you'd like Lizzy to help you and your team get moving more go to http://twominutemoves.com/sessions or lizzy@twominutemoves.com

More fun, easy ways to get more exercise into your day in Two Minute Moves, the book. On sale now at http://twominutemoves.com/book 

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»

♥Hi, I'm Lizzy. The excuse buster from down under! 
I post weekly workouts that are easy to make part of your day. My goal is to make exercise possible when it feels impossible

♥For more fun, easy moves check out my book ↪ http://twominutemoves.com/book ( ON SALE NOW!! ) 

♥Business Inquires ↪ lizzy@twominutemoves.com 

♥Subscribe! ↪https://www.youtube.com/channel/UCRtp...

♥My Website ↪ http://twominutemoves.com/

♥Follow My Social Medias for daily workouts 💪

♥Instagram ↪ https://www.instagram.com/twominutemo...

♥Facebook ↪ https://www.facebook.com/twominutemoves

♥You are AMAZING just the way you are 💖

♥Have an incredible day! Stay positive and keep moving 💗

Lots of love 
Lizzy xx","['stand up desk converter', 'best stand up desk converter', 'best stand up desk', 'stand up desk amazon', 'stand up desk benefits', 'adjustable stand up desk', 'stand up desk australia', 'health benefits of standing', 'health benefits of standing desk', 'stand up desk workout', 'stand up desk exercises', 'why use a standing desk', 'stay awake at work', 'how to exercise at work desk', 'how to eat less sugar at work', 'quick workout at work', 'two minute moves', 'standing desk', 'stand up desk', 'sit stand desk']",1.3842207677339466
Lose hanging lower belly fat sitting - Beginner friendly chair workout,0x_MsUr3tag,Workout,14.32,906033,19711,https://www.youtube.com/watch?v=0x_MsUr3tag,"Members share their journeys https://www.instagram.com/inshapefam 
- Free Youtube programs https://www.anhfit.com/w/ 
- Gain faster progress on InShape App https://www.anhfit.com/a/ 
- Quick fat loss workouts https://www.instagram.com/anhfitcollection/ 
- InShape Facebook Group https://bit.ly/2R0eTDC 

____

Combine with this routine: https://youtu.be/l5cwN1Ax0y0

____

Shop my fitness gears! it means a lot if you do 💕 https://www.anhfit.com/

____

Surround yourself with motivation. Limit unhealthy food. Remember to take your Before photos and share your progress to motivate people﻿

Fitness Inspiration + Daily Motivation
✓ Instagram: https://www.instagram.com/hanamilly/
✓ Facebook: https://www.facebook.com/hanamilly/

____

🎵 Enjoy my music free for 30 days 
When you sign in with this link, I will get a tiny discount for the music on my channel, it doesn't cost you anything ♡ https://www.epidemicsound.com/referral/lewp45/

____


BECOME STRONGER AND HEALTHIER

☞ Butt, Hips Legs http://bit.ly/2RRbXuh
☞ Abs, Obliques, Core, Back http://bit.ly/2UBJ2Ze 
☞ Breasts, arms, chest, shoulders https://bit.ly/3ceCcC7 
☞ Member's results & healthy recipes https://bit.ly/35iN8MD 
☞ Easy workouts and stretch https://bit.ly/31DbTmr
☞ Intermediate & Advanced Levels https://bit.ly/3lTBeRp
☞ Other body parts to boost more confident https://bit.ly/3lPqVOh
☞ Train with basic equipment https://bit.ly/2xwPMkY

____

❤ A little note and thank ❤
I make a living from Youtube Adsense (45% YT, 55% creators), when you enjoy my creations, allowing me to display ads in my workouts. Seeing a few seconds ad means you help make it possible for me to consistently create more free programs for you and everyone in long term. I appreciate and thank you. Hope to see your progress to inspire us!

____
#hanamillyabworkouts #hanamillyarmsworkouts 
exercises to tighten core muscles | fix hanging lower belly fat | Lower Ab Workout | Core Strength, No Equipment Abs Workout, get rid of saggy belly, lose love handles, office workout, desk workout



___
Just in case you forgot today: You matter, you are loved, you are beautiful and you are magical  ♡","['hanamilly', 'cardio hiit workout', 'home workout for women', 'lower ab exercise', 'home workout routine for women', 'home ab exercises', 'anhfit', 'anhfit workouts', 'anhfit resistance bands', 'anhfitcollection']",2.1755278229380166
12 Core Strengthening Exercises You Can Do In The Office (WITHOUT LEAVING YOUR SEAT),dM0rrWFbMpg,Workout,5.97,161880,1828,https://www.youtube.com/watch?v=dM0rrWFbMpg,"Try ANY of these 12 exercises while you're still stuck in the office! Finally, you can have a stronger core than before... Without needing to go to the gym or lay out a yoga mat.

++++++

Download your bonus eBook that teaches you 7 stretches in 7 minutes to relieve back pain here:
http://airawear.com/back-pain-relief-ebook

++++++

Visit our website: http://airawear.com/
Read our blog: http://airawear.com/index.php/blog/
Facebook: https://www.facebook.com/airawear

+++++

Just grab a chair (or if you're seated already, don't) and follow SQ as he shows you how to do these simple exercises.

The exercises are: 

1. Leg Lifts

- Sit yourself on the edge of your chair, holding the sides for balance.
- Slowly raise your left leg up, straightening it. Ensure that the leg is parallel to the ground.
- Hold this position for about 5 seconds. 
- Switch legs.
- Repeat. 

2. Abs Tensor 2000 

- Pretend you are Connor McGregor preparing for a fight with Floyd Mayweather. At this point of time, tense your core, and breathe out. 
- If that analogy didn’t help, then try to bring your belly button towards your spine as you tense your core. 
- Hold this position. 

3. Kardashian Clench

- Clench your buttcheeks together. Imagine that you’re about to go number 2 but you’re in an inappropriate place and should not do so. You should feel a little taller.
- Hold this position. 

4. Desk Chair Swivels

- Move your chair away from your table, such that when your hands reach out, only your fingertips are touching your desk. 
- Sit yourself on the edge of your chair. 
- Slowly swivel yourself towards the left. Then slowly swivel yourself back to the centre and towards the right.
- Repeat. 

5. Chair Flutter Kicks

- Sit yourself on the edge of your chair.
- Place your hands towards the back of the chair, holding yourself steady for balance.
- Raise both of your legs up, ensuring that they are parallel towards the floor. 
- Kick your left leg up and your right leg down. Then kick your right leg up and your left leg down. Repeat this motion. 

6. Chair Bicycle Crunch 

- Sit yourself on the edge of your chair.
- Place your hands towards the back of the chair, holding yourself steady for balance.
- Raise both of your legs up, ensuring that they are parallel towards the floor. 
- Keeping your right leg straight, push your left leg towards your chest area. 
- Straighten your left leg and push your right leg towards your chest area. 
- Repeat. 

7. Seated Double Knee Lifts

- Sit yourself on the edge of your chair.
- Place your hands towards the back of the chair, holding yourself steady for balance.
- Raise your legs off the floor. 
- Keeping your knees together, raise them up towards the sky. Then lower them down. 
- Repeat. 

8. Chair Leg Raises
- Sit yourself on the edge of your chair.
- Place your hands towards the back of the chair, holding yourself steady for balance.
- Keeping both of your legs straight and knees together, raise them up towards the sky. Try to raise them beyond your hips height. 
- Lower them down after raising. 
- Repeat. 

9. Chair Ins and Outs

- Sit yourself on the edge of your chair.
- Place your hands towards the back of the chair, holding yourself steady for balance.
- Keeping your knees together, raise them up and make sure they are close to your chest (also ensure your feet is above your chair level.)
- Straighten your legs out. Pull them back again towards your chest. That’s 1 rep. 
- Repeat.

10. The Magic Carpet

- Place your feet on your chair. Also, grab the handles of your chair. 
- Slowly and gently, attempt to lift your body up, raising your legs away from your chair. 
- Keep your arms straight. Do not raise your shoulders towards your ears. 
- Hold the position. 

11. Air Knee Lifts

- Place your feet on your chair. Also, grab the handles of your chair. 
- Slowly and gently, attempt to lift your body up, raising your legs away from your chair. 
- Keep your arms straight. Do not raise your shoulders towards your ears. 
- Lift your knees towards your chest. then straighten your legs again. That’s 1 rep.
- Repeat.

12. Air Bicycle Kicks

- Place your feet on your chair. Also, grab the handles of your chair. 
- Slowly and gently, attempt to lift your body up, raising your legs away from your chair. 
- Keep your arms straight. Do not raise your shoulders towards your ears. 
- Hold this position and bring your legs up, making sure you are parallel to the ground. 
- Push your left knee towards your chest, and keep the right leg straight. 
- Then, push your right knee towards your chest, while straightening your left. That’s 1 rep.
- Repeat.","['core exercises', 'core strengthening', 'core strengthening exercises', 'strengthen your core', 'relieve back pain', 'back pain relief', 'office exercises', 'deskercises', 'chair exercises', 'exercises you can do with a chair', 'improve balance', 'improve stability', 'prevent injuries', 'improve posture', 'improve confidence', 'protect internal organs', 'leg lifts', 'tense your abs', 'desk chair swivels', 'flutter kicks', 'bicycle crunch', 'seated double knee lifts', 'leg raises', 'ins and outs']",1.1292315295280455
Full Body Desk Workout,FABeW2UYbMI,Workout,11.25,11116,245,https://www.youtube.com/watch?v=FABeW2UYbMI,"🍑 Booty Bands® - Step Into Your Best! 
🛍️ Shop Store: https://bootybands.com/
📱 APP FREE for 14 days - Click here from your phone: http://onelink.to/bootybands

The Original Booty Bands®, Barbell designed for women, and Fitness App will Create Lifelong Transformations No Matter Your Age, Genetics, or Level. Created by Women for Women! 
💗Full length workouts
💗Recipes
💗Motivational blogs and videos
💗Updated EVERY DAY with new workouts and content

🧠 The programs are Fun and effective, built into a community that’s supportive and up-lifting. No more starving yourself. No more excessive cardio. No more lack of knowledge. It’s time for more confidence, let’s unlock your full potential!    

🏋️‍♀️ Our Programs, Coaches, quality Products and Meal Plans, all focus on giving you the POWER back.  Get ready to master your Mind, Body & Life while making it fun, effective and convenient for you. 

💯 Our goal is to change the way we all look at the fitness industry to get results.  Workouts can be FUN, Eating Healthy can be SIMPLE, and our Supportive Community is your NEW POSITIVE CHANGE.  

💞  HI!!  I'm Danita, Owner & Cofounder of Booty Bands®,  a Certified PT, NQ Bikini Competitor, Nutritionist, Model & Women's Mindset Specialist.   After years of failing with my transformation, I devoted my life to finding the true solutions.  Passionately helping 100's of 1000’s of Women worldwide reach their goals in Mind, Body & Life!  🍑See you in the Booty Brigade! 


💗 Connect with us on SOCIAL:
- YT: Subscribe to our YouTube Channel for more FUN workouts!   https://youtube.com/bootybands?sub_co...
- FB: https://facebook.com/bootybandsofficial
- IG: https://instagram.com/bootybandsofficial

Booty Bands® Legal Disclaimer:
You must consult your physician or other health care professional before starting this video or any other fitness program to determine if it is right for your needs. Do not start this fitness program if your physician or health care provider advises against it.
Our videos, our websites and content offers health, fitness and nutritional information and is designed for educational purposes only. You should not rely on this information as a substitute for, nor does it replace, professional medical advice, diagnosis, or treatment.
Booty Bands LLC will not be responsible or liable for any injury or harm you sustain as a result of our fitness programs, training videos, online fitness content, or information shared on our websites. This includes emails, videos and text. Thanks for your understanding. Exercise smart and healthy!
In order to gain the resistance needed, Booty Bands contain latex.  If you have a latex allergy or are sensitive to latex products, you should not use a Booty Band, or consult your physician before using.

Individual Results may vary, and testimonials are not claimed to represent typical results. All testimonials are real women, and may not reflect the typical purchaser’s experience, and are not intended to represent or guarantee that anyone will achieve the same or similar results. Every person has unique experiences, exercise habits, eating habits, and applies the information in a different way. Thus, the experiences that we share from other people may not reflect the typical users’ experience. Due to recent statements from the FTC, it is required that we identify what a typical result is. The truth: most people never do anything with the products they buy, so most of the time, their typical results are zero. The biggest factor is your ability to follow through. There is no such thing as a Magic Pill. Your effort will determine your results. However, the results portrayed in this presentation are meant as a showcase of what the best, most motivated Booty Bands® users’ have achieved. In addition, you assume certain risks inherent in exercise and nutritional programs by using this system. You should not begin the program if you have a physical condition that makes intense exercise dangerous. In addition, Booty Bands® requires you to follow an eating plan and at times restrict the amount of calories you consume. You should not begin this eating plan if you have physical or psychological issues which make weight loss dangerous. Booty Bands® is an educational service that provides general health information. This is not a substitute for medical advice. Please consult a physician before beginning any exercise or diet program.","['Booty bands', 'healthy living', 'exercise', 'slim', 'bigger butt', 'exercise wear', 'workout', 'strength']",2.204030226700252
The 5 Minute Desk Workout | Fitness,eR1AWOp6t30,Workout,5.62,34603,204,https://www.youtube.com/watch?v=eR1AWOp6t30,"Subscribe to follow the challenge!
http://po.st/SubscribeToFitness

About Fitness: 
Fitness is more than just working out, make sure you follow us and subscribe to get health tips, recipes, and recommended workouts!


Fitness is more than just working out, make sure you follow us to get health tips, recipes, and recommended workouts!

Official Shape Website: po.st/FitnessOnline
Follow Shape on FACEBOOK: po.st/FitnessOnFacebook
Follow Shape on TWITTER: po.st/FitnessOnTwitter
Follow Shape on PINTEREST: po.st/FitnessOnPinterest
Follow Shape on INSTAGRAM: po.st/FitnessOnInstagram","['workout', 'workouts', 'workout routines', 'workouts for women', 'desk workouts', 'desk exercises', 'full-body workout', 'full-body workouts', 'leg workouts', 'leg workout', 'leg exercises', 'lower body workouts', 'lower body workout', 'toning workouts', 'toning workouts for women', 'squats', 'squat exercise', 'squat exercises', 'easy exercise', 'cardio workout', 'lunges', 'lunge exercise', 'five minute workout', 'quad muscles', 'quad workout']",0.5895442591682802
Exercise at Your Desk! Seated Office Workout for Energy,U8tB5wtdZnY,Workout,11.25,97013,1374,https://www.youtube.com/watch?v=U8tB5wtdZnY,"CUSTOM CORPORATE WELLNESS TO IMPROVE THE HEALTH & SUCCESS OF YOUR COMPANY. Contact me at: carolinejordanfitness@gmail.com

Hurt Foot Fitness Program: https://www.hurtfootfitness.com/p/injuryrecoverysystem
Strong Body Program : https://www.hurtfootfitness.com/p/strongbody 
Hurt Foot Fitness e-book: https://gum.co/HurtFootFitness
DONATE: https://www.paypal.me/CarolineJordanUS
GET COACHING: carolinejordanfitness@gmail.com
SUBSCRIBE: https://www.youtube.com/c/CarolineJordan
Buy Book: http://amzn.to/2kLQZtA
Blog: http://www.carolinejordanfitness.com/blog/
Facebook: https://www.facebook.com/carolinejordanfitness
Twitter: https://twitter.com/carolinefitness
Instagram: @carolinejordanfitness
http://www.carolinejordanfitness.com/

If you liked this video, please support the channel by hitting ""LIKE"" and the ""SUBSCRIBE"" button. Your support helps fuel future content and a more powerful impact in the health of the planet.


In this video, Health and Wellness Coach Caroline Jordan guides you through simple total body exercises you can do while seated at your office desk for improved energy. These moves are designed to help with lower back pain, improve energy, boost metabolism, get rid of sitting stiffness, and increase performance. In this video you will do:

- Head and Neck stretches
- Shoulder, chest, and arm stretches
- Ab and Butt isolation exercises
- Leg exercises
- Lower back stretches
- Hip stretches
- Spine twist exercises
- Deep breathing exercises

Its a total body stretch that will energize and uplift your work day!

This video is part of one of Caroline's Corporate Wellness Workshops, ""ReBoot at Work. Life Hacks for more energy in Work, Wellness, and Life."" Want to raise awareness of healthy workplace habits and get the support you need to thrive in the office? Contact Caroline about her corporate wellness offerings and workshops at carolinejordanfitness@gmail.com 

Did you LIKE this video?? SUBSCRIBE to my channel, LIKE, it and share it with your friends on facebook, twitter, youtube, and email. Thanks for your support and for joining the healthy, happy, community online. 

As always, please check with your doctor to make sure these recommendations are right for you. Honor your body and be good to yourself. 

Check out Caroline's website: http://www.carolinejordanfitness.com/

FOLLOW on Twitter - https://twitter.com/#!/carolinefitness

LIKE on Facebook - https://www.facebook.com/carolinejordanfitness
DISCLAIMER: This content (the video, description, links, and comments) is not medical advice or a treatment plan and is intended for general education and demonstration purposes only. This content should not be used to self-diagnose or self-treat any health, medical, or physical condition. Don’t use this content to avoid going to your own healthcare professional or to replace the advice they give you. Consult with your healthcare professional before doing anything contained in this content. You agree to indemnify and hold harmless Caroline Jordan Fitness its officers, employees, and contractors for any and all losses, injuries, or damages resulting from any and all claims that arise from your use or misuse of this content. Caroline Jordan Fitness makes no representations about the accuracy or suitability of this content. Use of this content is at your sole risk.","['Physical Exercise (Interest)', 'Physical Fitness (Industry)', 'Desk', 'Training', 'Work', 'Office', 'wellness', 'exercise', 'energy', 'fitness', 'health', 'workout', 'muscle', 'body', 'Lose', 'caroline jordan', 'Weight', 'Loss', 'Your', 'Muscles', 'happy', 'performance', 'Weight Loss (Symptom)', 'Weight Loss (The Office)', 'Bodybuilding', 'Weight Training (Hobby)', 'Gym', 'Flex', 'Progress', 'Personal', 'Working', 'Healthy', 'Trainer', 'Nutrition', 'Career']",1.416305031284467
INTENSE Exercises To Do At Your Desk,DgxuAKSa6OM,Workout,10.52,155046,3356,https://www.youtube.com/watch?v=DgxuAKSa6OM,"Hello Fitness Family! 

Back again with a workout video for you but this time, as you can see, I come to work with you! Really wanted to give those of you who have such busy schedules some options, so I conjured up some exercises into a nice little grouping you can do right at work, at your desk! I warn you (both men and women) that some of these exercises can generate some sweat so make sure you have your anti-perspirant handy and a clean undershirt (guys) and for women a shirt to change into, just incase! Please make sure you keep your BACK STRAIGHT, CORE TIGHT, CONCENTRATING and BREATHING NICE AND STEADY throughout the exercise grouping! 

""THE CUBICLE WORKOUT"" 
-- 5 EXERCISES GROUPED TOGETHER TO STIMULATE YOUR UPPER BODIES MOST IMPORTANT MUSCLES-- 
BEGINNERS: 5-10 SEC HOLDS, 2-3 SETS EACH 
ADVANCED: 15-20 SEC HOLDS, 4-5 SETS EACH

1ST EXERCISE -- PUSHES -- Sitting down, keep back straight, elbows out, hands open with palms out as if you are about to clap. Then put your hands flat together and push against each hand AS HARD AS YOU CAN -- This works your CHEST, BICEPS, TRICEPS, CORE, LATS -- Repeat according to your fitness level.

2ND EXERCISE -- PULLS -- Sitting down, keep back straight, elbows out, hands (fingers) interlocked with each other with palms out, then pull each hand AS HARD AS YOU CAN -- This works your LATS, BICEPS, FOREARMS, UPPER BACK, TRICEPS, CORE -- Repeat according to your fitness level.

3RD EXERCISE -- PUSHES W/ TOP/BOTTOM OF FISTS -- Sitting down, keep back straight, elbows out, make a fist with your hand like you are going to give yourself a pound, then push up with your bottom fist and push down with your top fist at the same time AS HARD AS YOU CAN -- This works your TRICEPS, BICEPS, FOREARMS, UPPER BACK, CHEST, CORE -- Repeat according to your fitness level.

4TH -- EXTENDED ARM PRESSES (LOW & HIGH) -- Sitting down, keeping your back straight, extend your arms out, open your palms and put your hands together like you are going to dive into a pool, but point your arms downward rather than straight out. Press your hands together while keeping your arms straight AS HARD AS YOU CAN (Do the exact same thing for the high presses) -- This works your CHEST, BICEPS, TRICEPS, SHOULDERS, LATS, UPPER BACK, FOREARMS, CORE -- Repeat according to your fitness level.

5TH EXERCISE -- UPRIGHT AIR CLAPS  -- Sitting down, keep back straight, arms in a 90 degree angle parallel to your body, then while keeping the best form you can, pretend like you want to clap as ahrd as you can without hitting your hands for 30 SECONDS AS FAST (and steady) AS YOU CAN -- This works your SHOULDERS, CORE, ARMS, BASICALLY YOUR WHOLE UPPER BODY -- THIS EXERCISE IS 30 SECONDS FOR BEGINNERS. IF YOU ARE ADVANCED DO 1 MINUTE.

Hope you guys who work those office jobs enjoy this! Had a great time making the video and big thank you to my missing puzzle piece Carli for being an amazing inspiration to me...I LOVE YOU.

Please Share my video on Facebook with the link below!
http://youtu.be/DgxuAKSa6OM

PLEASE LIKE MY PAGE ON FACEBOOK FOR UPDATES :) 
http://www.facebook.com/brettcapfit

CHECK OUT MY MOTIVATIONAL TIPS VIDEO:
http://www.youtube.com/watch?v=TTYDpEd397s

Check out my SIX PACK ABS IN 15 MINS VIDEO:
http://www.youtube.com/watch?v=AJdQsSsLUAw

Check out THE BEST CHEST ROUTINE @ HOME:
http://www.youtube.com/watch?v=zkRNze65p5I

Check out CELLULITE BLASTING THIGH WORKOUT:
http://www.youtube.com/watch?v=fkDdadIskH0

Music: All Beats Produced by Mike Cash

YOUTUBE
https://www.youtube.com/user/ElectricBodega

FACEBOOK
https://www.facebook.com/pages/Electric-bodega/149071315266156?fref=ts

SOUNDCLOUD
https://soundcloud.com/electric-bodega","['shoulders', 'inner thigh', 'arm toning exercises for women', 'arm toning', 'legs', 'tone your arms', 'health', 'carlibel55', 'fat burn', 'Muscle', 'Trainer', 'Arm (Body Part)', 'crossfit', 'girls', 'triceps', 'nutrition', 'underarm fat', 'Workout', 'Lose', 'Fit', 'physique', 'arm exercises', 'Exercises', 'butt', 'diet', 'carlibel', 'arms', 'fat', 'Training', 'arm workout', 'cellulite', 'carlibel boyfriend', 'Weight', 'Bodybuilding', 'beauty', 'protein', 'Toning Exercises', 'Loss', 'how to', 'fitness', 'women', 'brettcap', 'Exercise', 'Muscles', 'butt lift', 'physical exercise', 'gym']",2.1645189169665775
Yoga at Your Desk,tAUf7aajBWE,Workout,6.4,1353109,15635,https://www.youtube.com/watch?v=tAUf7aajBWE,"SNEAK IN SOME YOGA! Because you are worth it - and we know the tools of YOGA are powerful and sometimes quite simple. Yoga at your desk is perfect for anybody who spends much time working at a computer or in a cubicle. This sequence is ideal for those who want to sneak in a quick yoga break or for those who are in healing and want to practice a little bit of opening with the support of a chair. Practice a little energetic hygiene and deep breathing! Open your heart, your shoulders and relieve tension! You can practice this puppy without sound too! Made with love. Namaste. 

More yoga videos coming your way! Subscribe to the channel so you don't miss a thang! Recipes and other Yoga Lifestyle ventures on the Blog at www.yogawithadriene.com. Namaste!

Stay connected~
Facebook: https://www.facebook.com/yogawithadriene
Twitter: https://twitter.com/yogawithadriene
Pinterest: http://pinterest.com/YogaWithAdriene/...
Instagram: @adrienelouise","['yoga at your desk', 'desk yoga', 'office yoga', 'yoga at work', ""yoga for when you're at work""]",1.1554871041431252
